Name,Custom unit,Michigan Sales Tax (6%),Tax exempt,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Price,Cost price,Barcode,In stock,Category,Variant id,Product id,ID (Do not edit): [n-un-t-te-vo0n-vo0v-vo1n-vo1v-vo2n-vo2v-sku-p-cp-bc-ib-cat-vid-id-k]
Michigan Spots - Landing Page,,FALSE,TRUE,,,,,,,MS-WEB-LANDING,499,0,,,Web/Dev Services,,,
Michigan Spots - E-Commerce Integration,,FALSE,TRUE,,,,,,,MS-WEB-ECOM,999,0,,,Web/Dev Services,,,
Michigan Spots - Custom Dashboard,,FALSE,TRUE,,,,,,,MS-WEB-DASH,799,0,,,Web/Dev Services,,,
Michigan Spots - API Integration,,FALSE,TRUE,,,,,,,MS-WEB-API,1299,0,,,Web/Dev Services,,,
Michigan Spots - Full Website Build,,FALSE,TRUE,,,,,,,MS-WEB-FULL,2999,0,,,Web/Dev Services,,,
Michigan Spots - Full Website (Premium),,FALSE,TRUE,,,,,,,MS-WEB-FULL-PREM,4999,0,,,Web/Dev Services,,,
Michigan Spots - Full Website (Enterprise),,FALSE,TRUE,,,,,,,MS-WEB-FULL-ENT,5999,0,,,Web/Dev Services,,,
